time,lat,long,photo,lux
2018-04-28-00-41-27,-51.617621274902696,-46.5973229519166,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-27LuxQuest.jpg,5.051031901041667
2018-04-28-00-41-30,-51.61463989732999,-46.297648402082295,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-30LuxQuest.jpg,5.4094140625
2018-04-28-00-41-32,-51.61219468960712,-46.09788927452152,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-32LuxQuest.jpg,5.132493489583333
2018-04-28-00-41-35,-51.607833613822066,-45.79829668695725,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-35LuxQuest.jpg,5.094029947916667
2018-04-28-00-41-38,-51.60264608514744,-45.49876898619009,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-38LuxQuest.jpg,5.137809244791667
2018-04-28-00-41-40,-51.598725556563856,-45.29912597184521,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-40LuxQuest.jpg,5.352854817708334
2018-04-28-00-41-43,-51.59215832967689,-44.99973145976687,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-43LuxQuest.jpg,5.0778515625
2018-04-28-00-41-46,-51.58476123480577,-44.70043257033691,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-46LuxQuest.jpg,5.178876953125
2018-04-28-00-41-48,-51.57937221555063,-44.50096031072127,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-48LuxQuest.jpg,5.237496744791667
2018-04-28-00-41-51,-51.57059883756175,-44.2018458363989,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-51LuxQuest.jpg,5.241692708333333
2018-04-28-00-41-54,-51.56099559158871,-43.90285772057618,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-54LuxQuest.jpg,5.367578125
